tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1/1/2016 0:00,1/1/2016 0:09,-73.99375916,40.75162125,-73.99086761,40.75608826
1/1/2016 0:00,1/1/2016 0:10,-73.97831726,40.76317978,-73.92160797,40.74137497
1/1/2016 0:00,1/1/2016 0:10,-73.96375275,40.77116013,-73.9756012,40.75273895
1/1/2016 0:00,1/1/2016 0:06,-73.97602081,40.74456024,-73.9664917,40.75366211
1/1/2016 0:00,1/1/2016 0:17,-73.97679138,40.7336998,-73.89214325,40.75072479
1/1/2016 0:00,1/1/2016 0:34,-73.98428345,40.74805832,-73.99208832,40.60917664
1/1/2016 0:00,1/1/2016 0:08,-73.96987152,40.76850891,-73.94934845,40.7877655
1/1/2016 0:00,1/1/2016 0:14,-73.96617889,40.76222229,-73.89775848,40.74314117
1/1/2016 0:00,1/1/2016 0:11,-74.00437927,40.74225235,-73.98422241,40.73819733
1/1/2016 0:00,1/1/2016 0:07,-73.99133301,40.72389221,-73.98368835,40.72151566
1/1/2016 0:00,1/1/2016 0:00,0,0,0,0
1/1/2016 0:00,1/1/2016 0:05,-73.97415924,40.79573059,-73.96251678,40.80493164
1/1/2016 0:00,1/1/2016 0:09,-73.99420166,40.72647095,-74.01474762,40.71620178
1/1/2016 0:00,1/1/2016 0:12,-73.98963928,40.73439789,-73.97879028,40.72411346
1/1/2016 0:00,1/1/2016 0:18,-74.0014801,40.72743988,-73.95645142,40.76815033
1/1/2016 0:00,1/1/2016 0:03,-73.97915649,40.74050903,-73.98852539,40.73464584
1/1/2016 0:00,1/1/2016 0:13,-73.95392609,40.76694489,-73.92446136,40.86139297
1/1/2016 0:00,1/1/2016 0:09,-73.98213959,40.77168655,-73.97445679,40.7624855
1/1/2016 0:00,1/1/2016 0:19,-73.78082275,40.64518356,-73.89084625,40.74300766
1/1/2016 0:00,1/1/2016 0:06,-73.99739838,40.7207489,-73.99918365,40.72790527
1/1/2016 0:00,1/1/2016 0:29,-73.98404694,40.75527954,-73.99514771,40.72063446
1/1/2016 0:00,1/1/2016 0:08,-73.98387146,40.74240875,-74.00236511,40.72634888
1/1/2016 0:00,1/1/2016 0:11,-73.99575043,40.74409103,-74.00975037,40.71276093
1/1/2016 0:00,1/1/2016 0:22,-73.98508453,40.74716568,-73.95803833,40.71749115
1/1/2016 0:00,1/1/2016 0:08,-73.97100067,40.79764175,-73.9536972,40.78512955
1/1/2016 0:00,1/1/2016 0:17,-73.98415375,40.76485825,-73.97802734,40.76293564
1/1/2016 0:00,1/1/2016 0:28,-73.78713989,40.6440506,-73.94842529,40.73073578
1/1/2016 0:00,1/1/2016 0:17,-73.9877243,40.75056839,-74.03556824,40.71357346
